date,close
2016-03-01,40027.2226
2016-03-02,40147.6074
2016-03-03,40309.7999
2016-03-04,40405.6055
2016-03-07,40416.5512
2016-03-08,39937.1224
2016-03-09,40103.8614
2016-03-10,40153.2428
2016-03-11,40931.4993
2016-03-14,40875.0002
2016-03-15,40712.9021
2016-03-16,41001.588
2016-03-17,41228.2374
2016-03-18,41373.938
2016-03-21,41403.6931
2016-03-22,41392.5811
2016-03-23,41148.6219
2016-03-24,41112.3745
2016-03-28,41163.63
2016-03-29,41586.5549
2016-03-30,41706.4681
2016-03-31,41670.2844
2016-04-01,41979.3856
2016-04-04,41685.3082
2016-04-05,41363.5283
2016-04-06,41848.9696
2016-04-07,41389.0926
2016-04-08,41509.443
2016-04-11,41341.5955
2016-04-12,41720.5407
2016-04-13,42142.7658
2016-04-14,42101.7784
2016-04-15,42167.2786
2016-04-18,42462.4435
2016-04-19,42472.5842
2016-04-20,42462.1732
2016-04-21,42218.7411
2016-04-22,42277.6415
2016-04-25,42201.4639
2016-04-26,42341.5315
2016-04-27,42451.1407
2016-04-28,41959.1536
2016-04-29,41771.2625
2016-05-02,42165.9882
2016-05-03,41830.2879
2016-05-04,41529.8587
2016-05-05,41559.5173
2016-05-06,41700.4981
2016-05-09,41828.5946
2016-05-10,42364.2522
2016-05-11,41911.4662
2016-05-12,41950.151
2016-05-13,41614.746
2016-05-16,42006.4354
2016-05-17,41618.3698
2016-05-18,41589.3842
2016-05-19,41365.4909
2016-05-20,41674.792
2016-05-23,41563.8374
2016-05-24,42155.659
2016-05-25,42388.4413
2016-05-26,42367.1704
2016-05-27,42573.4826
2016-05-31,42570.5285
2016-06-01,42665.495
2016-06-02,42852.7686
2016-06-03,42702.5522
2016-06-06,42901.1244
2016-06-07,42958.0546
2016-06-08,43130.7491
2016-06-09,43035.6746
2016-06-10,42525.6152
2016-06-13,42191.3855
2016-06-14,42112.4404
2016-06-15,42083.7477
2016-06-16,42160.8693
2016-06-17,42032.2332
2016-06-20,42347.9769
2016-06-21,42396.5233
2016-06-22,42385.8116
2016-06-23,42964.1917
2016-06-24,41331.3895
2016-06-27,40457.3693
2016-06-28,41197.7686
2016-06-29,41929.0449
2016-06-30,42511.0451
2016-07-01,42693.2397
2016-07-05,42387.8229
2016-07-06,42643.8954
2016-07-07,42589.7085
2016-07-08,43331.6625
2016-07-11,43497.0094
2016-07-12,43769.5201
2016-07-13,43746.5981
2016-07-14,43905.6953
2016-07-15,43834.7676
2016-07-18,43920.2863
2016-07-19,43840.8242
2016-07-20,44073.7353
2016-07-21,43905.1347
2016-07-22,44187.9519
2016-07-25,44082.5581
2016-07-26,44193.4238
2016-07-27,44052.5966
2016-07-28,44251.2064
2016-07-29,44378.0827
2016-08-01,44324.7736
2016-08-02,43987.2225
2016-08-03,44154.8681
2016-08-04,44121.967
2016-08-05,44487.1849
2016-08-08,44421.8523
2016-08-09,44435.3048
2016-08-10,44369.5167
2016-08-11,44579.1864
2016-08-12,44527.3486
2016-08-15,44657.0631
2016-08-16,44345.8309
2016-08-17,44398.0384
2016-08-18,44551.6004
2016-08-19,44516.7057
2016-08-22,44534.4858
2016-08-23,44619.1234
2016-08-24,44307.3023
2016-08-25,44265.3426
2016-08-26,44155.6433
2016-08-29,44388.1735
2016-08-30,44250.7336
2016-08-31,44132.3477
2016-09-01,44152.0697
2016-09-02,44345.144
2016-09-06,44462.712400000004
2016-09-07,44531.1484
2016-09-08,44354.0767
2016-09-09,43186.618800000004
2016-09-12,43842.6183
2016-09-13,43168.738
2016-09-14,43141.5441
2016-09-15,43564.7828
2016-09-16,43399.5004
2016-09-19,43480.3456
2016-09-20,43429.4338
2016-09-21,43962.496399999996
2016-09-22,44308.7605
2016-09-23,44079.7298
2016-09-26,43807.3022
2016-09-27,44075.5297
2016-09-28,44270.3796
2016-09-29,43883.1907
2016-09-30,44203.6482
2016-10-03,44018.1632
2016-10-04,43768.4439
2016-10-05,43897.5313
2016-10-06,43939.546
2016-10-07,43735.3922
2016-10-10,43954.9884
2016-10-11,43306.4427
2016-10-12,43361.1996
2016-10-13,43263.057
2016-10-14,43227.4151
2016-10-17,43098.8919
2016-10-18,43402.7212
2016-10-19,43519.9005
